Sample,Phi (degrees),Peak Name,Peak Center (Theta),Tilt Angle (Chi),FWHM (degrees),Net Height,Net Area (cts deg),Area/Base Ratio
SH-125-G,120,Peak 1 (Tilt),9.000747254525242,-5.691634552148395,0.0,0.0,0.0,0.0
SH-125-G,120,Peak 2a (Tilt),12.197089221337059,-2.4952925853365784,0.0,0.0,0.0,0.0
SH-125-G,120,Peak 2b (Tilt),13.599999962195458,-1.0923818444781794,0.6499799959527458,990.9304376677662,685.5548096283674,0.24362890169459742
SH-125-G,120,Peak 3 (Specular),14.970038251606777,0.27765644493313957,0.6499778415699513,2018.7147478858233,1396.6015826690273,0.5452259414914754
SH-125-G,120,Minor Peak A (Tilt),16.80044720867278,2.1080654019991414,0.6499793367101016,1959.682247321461,1355.7644172698817,0.5922393934407368
SH-125-G,120,Minor Peak B (Tilt),17.670305279227552,2.9779234725539148,0.6499472931843437,1428.602750465385,988.2996556481912,0.4533772863557229
SH-125-G,120,Peak 4 (Tilt),23.111065124184634,8.418683317510997,0.0,0.0,0.0,0.0
SH-125-G,150,Peak 1 (Tilt),9.06501444475028,-5.646703916147926,0.0,0.0,0.0,0.0
SH-125-G,150,Peak 2a (Tilt),11.299813115704477,-3.4119052451937293,0.0,0.0,0.0,0.0
SH-125-G,150,Peak 2b (Tilt),12.433387794313218,-2.278330566584989,0.0,0.0,0.0,0.0
SH-125-G,150,Peak 3 (Specular),13.968417236814359,-0.7433011240838479,0.0,0.0,0.0,0.0
SH-125-G,150,Minor Peak A (Tilt),16.9445243333091,2.232805972410894,0.0,0.0,0.0,0.0
SH-125-G,150,Minor Peak B (Tilt),17.899999999999995,3.1882816391017883,0.0,0.0,0.0,0.0
SH-125-G,150,Peak 4 (Tilt),21.980843419920003,7.269125059021796,0.0,0.0,0.0,0.0
SH-125-G,180,Peak 1 (Tilt),9.8235947338477,-4.902820671231769,0.6499799999999999,1018.5441348028158,704.6587815227407,704.6587815227407
SH-125-G,180,Peak 2a (Tilt),11.962442488882902,-2.7639729161965683,0.0,0.0,0.0,0.0
SH-125-G,180,Peak 2b (Tilt),12.605378989746644,-2.121036415332826,0.0,0.0,0.0,0.0
SH-125-G,180,Peak 3 (Specular),13.836324212507213,-0.8900911925722568,0.0,0.0,0.0,0.0
SH-125-G,180,Minor Peak A (Tilt),16.815964688201856,2.089549283122386,0.0,0.0,0.0,0.0
SH-125-G,180,Minor Peak B (Tilt),17.339662389869893,2.6132469847904236,0.0,0.0,0.0,0.0
SH-125-G,180,Peak 4 (Tilt),22.06623516039819,7.33981975531872,0.0,0.0,0.0,0.0
SH-104-1,0,Peak 1 (Tilt),10.791,-3.925014040023516,0.0,0.0,0.0,0.0
SH-104-1,0,Peak 2a (Tilt),12.199975892544877,-2.516038147478639,0.0,0.0,0.0,0.0
SH-104-1,0,Peak 2b (Tilt),13.599913564251189,-1.1161004757723276,0.636378764005838,941.8390052513153,637.9569511063754,0.010878020711493038
SH-104-1,0,Peak 3 (Specular),14.975326837903923,0.2593127978804066,0.6459521324338594,3210.384197020445,2207.2746112339123,0.041360409517312444
SH-104-1,0,Minor Peak A (Tilt),16.800005111450684,2.0839910714271674,0.6474444064344003,3331.4689034943945,2295.817012160058,0.04811869272558495
